Input File,Type,Partition Size,Pivot Type,Comparisons,Exchanges
./data/asc50.dat,MergeSort,-1,-1,49,0
./data/asc50.dat,QuickSort,2,1,1517,97
./data/asc50.dat,QuickSort,50,1,101,49
./data/asc50.dat,QuickSort,100,1,101,49
./data/asc50.dat,QuickSort,2,0,395,49
./data/desc50.dat,MergeSort,-1,-1,427,182
./data/desc50.dat,QuickSort,2,1,1542,98
./data/desc50.dat,QuickSort,50,1,1326,1274
./data/desc50.dat,QuickSort,100,1,1326,1274
./data/desc50.dat,QuickSort,2,0,404,98
./data/rand50.dat,MergeSort,-1,-1,451,236
./data/rand50.dat,QuickSort,2,1,566,162
./data/rand50.dat,QuickSort,50,1,773,721
./data/rand50.dat,QuickSort,100,1,773,721
./data/rand50.dat,QuickSort,2,0,544,161
./data/dupe50.dat,MergeSort,-1,-1,447,227
./data/dupe50.dat,QuickSort,2,1,528,156
./data/dupe50.dat,QuickSort,50,1,678,626
./data/dupe50.dat,QuickSort,100,1,678,626
./data/dupe50.dat,QuickSort,2,0,519,160
./data/asc500.dat,MergeSort,-1,-1,499,0
./data/asc500.dat,QuickSort,2,1,127742,997
./data/asc500.dat,QuickSort,50,1,126326,949
./data/asc500.dat,QuickSort,100,1,122401,899
./data/asc500.dat,QuickSort,2,0,5728,499
./data/desc500.dat,MergeSort,-1,-1,6707,2715
./data/desc500.dat,QuickSort,2,1,127992,998
./data/desc500.dat,QuickSort,50,1,127776,2174
./data/desc500.dat,QuickSort,100,1,127551,5849
./data/desc500.dat,QuickSort,2,0,5740,998
./data/rand500.dat,MergeSort,-1,-1,8456,4228
./data/rand500.dat,QuickSort,2,1,8905,2350
./data/rand500.dat,QuickSort,50,1,8656,5489
./data/rand500.dat,QuickSort,100,1,12853,10205
./data/rand500.dat,QuickSort,2,0,7835,2295
./data/dupe500.dat,MergeSort,-1,-1,8390,4156
./data/dupe500.dat,QuickSort,2,1,7946,2436
./data/dupe500.dat,QuickSort,50,1,7684,5302
./data/dupe500.dat,QuickSort,100,1,12153,10304
./data/dupe500.dat,QuickSort,2,0,7460,2483
./data/asc1000.dat,MergeSort,-1,-1,999,0
./data/asc1000.dat,QuickSort,2,1,505492,1997
./data/asc1000.dat,QuickSort,50,1,504076,1949
./data/asc1000.dat,QuickSort,100,1,500151,1899
./data/asc1000.dat,QuickSort,2,0,12449,999
./data/desc1000.dat,MergeSort,-1,-1,14922,5931
./data/desc1000.dat,QuickSort,2,1,505992,1998
./data/desc1000.dat,QuickSort,50,1,505776,3174
./data/desc1000.dat,QuickSort,100,1,505551,6849
./data/desc1000.dat,QuickSort,2,0,12462,1998
./data/rand1000.dat,MergeSort,-1,-1,17210,8707
./data/rand1000.dat,QuickSort,2,1,18634,5101
./data/rand1000.dat,QuickSort,50,1,18573,11788
./data/rand1000.dat,QuickSort,100,1,24765,19358
./data/rand1000.dat,QuickSort,2,0,16383,5208
./data/dupe1000.dat,MergeSort,-1,-1,19156,9681
./data/dupe1000.dat,QuickSort,2,1,17812,5219
./data/dupe1000.dat,QuickSort,50,1,17976,11573
./data/dupe1000.dat,QuickSort,100,1,26346,21185
./data/dupe1000.dat,QuickSort,2,0,16458,5207
./data/asc2000.dat,MergeSort,-1,-1,1999,0
./data/asc2000.dat,QuickSort,2,1,2010992,3997
./data/asc2000.dat,QuickSort,50,1,2009576,3949
./data/asc2000.dat,QuickSort,100,1,2005651,3899
./data/asc2000.dat,QuickSort,2,0,26890,1999
./data/desc2000.dat,MergeSort,-1,-1,32853,12863
./data/desc2000.dat,QuickSort,2,1,2011992,3998
./data/desc2000.dat,QuickSort,50,1,2011776,5174
./data/desc2000.dat,QuickSort,100,1,2011551,8849
./data/desc2000.dat,QuickSort,2,0,26904,3998
./data/rand2000.dat,MergeSort,-1,-1,38418,19436
./data/rand2000.dat,QuickSort,2,1,38899,11393
./data/rand2000.dat,QuickSort,50,1,38320,25090
./data/rand2000.dat,QuickSort,100,1,53432,42557
./data/rand2000.dat,QuickSort,2,0,35860,11407
./data/dupe2000.dat,MergeSort,-1,-1,38447,19468
./data/dupe2000.dat,QuickSort,2,1,37068,11573
./data/dupe2000.dat,QuickSort,50,1,36136,22663
./data/dupe2000.dat,QuickSort,100,1,50306,39383
./data/dupe2000.dat,QuickSort,2,0,36016,11665
./data/asc5000.dat,MergeSort,-1,-1,4999,0
./data/asc5000.dat,QuickSort,2,1,12527492,9997
./data/asc5000.dat,QuickSort,50,1,12526076,9949
./data/asc5000.dat,QuickSort,100,1,12522151,9899
./data/asc5000.dat,QuickSort,2,0,72961,4999
./data/desc5000.dat,MergeSort,-1,-1,94791,34803
./data/desc5000.dat,QuickSort,2,1,12529992,9998
./data/desc5000.dat,QuickSort,50,1,12529776,11174
./data/desc5000.dat,QuickSort,100,1,12529551,14849
./data/desc5000.dat,QuickSort,2,0,72974,9998
./data/rand5000.dat,MergeSort,-1,-1,114329,56846
./data/rand5000.dat,QuickSort,2,1,110073,31028
./data/rand5000.dat,QuickSort,50,1,107651,63353
./data/rand5000.dat,QuickSort,100,1,139350,101325
./data/rand5000.dat,QuickSort,2,0,100744,30974
./data/dupe5000.dat,MergeSort,-1,-1,114075,56643
./data/dupe5000.dat,QuickSort,2,1,103689,31732
./data/dupe5000.dat,QuickSort,50,1,103638,62107
./data/dupe5000.dat,QuickSort,100,1,137196,102219
./data/dupe5000.dat,QuickSort,2,0,95350,32028
./data/asc10000.dat,MergeSort,-1,-1,9999,0
./data/asc10000.dat,QuickSort,2,1,50054992,19997
./data/asc10000.dat,QuickSort,50,1,50053576,19949
./data/asc10000.dat,QuickSort,100,1,50049651,19899
./data/asc10000.dat,QuickSort,2,0,155914,9999
./data/desc10000.dat,MergeSort,-1,-1,204594,74607
./data/desc10000.dat,QuickSort,2,1,50059992,19998
./data/desc10000.dat,QuickSort,50,1,50059776,21174
./data/desc10000.dat,QuickSort,100,1,50059551,24849
./data/desc10000.dat,QuickSort,2,0,155928,19998
./data/rand10000.dat,MergeSort,-1,-1,248574,123576
./data/rand10000.dat,QuickSort,2,1,233697,67118
./data/rand10000.dat,QuickSort,50,1,229181,132412
